#Key      Site YYYY-MM-DD HM:MI:SC           X[m]          Y[m]          Z[m]     dN[m]    dE[m]    dU[m]     rN[m]    rE[m]    rU[m]  s1D[m]  Used  NoK  Have  Expt SV XX DOP C[s] A[#]   R[%]
 FIT KZ0100CZE 2025-05-18 12:00:00   3975230.9544   992210.6505  4872326.6482    0.0005  -0.0021  -0.0033    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-05-19 12:00:00   3975230.9583   992210.6526  4872326.6511   -0.0009  -0.0009   0.0017    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-05-20 12:00:00   3975230.9567   992210.6525  4872326.6492   -0.0009  -0.0007  -0.0009    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-05-21 12:00:00   3975230.9591   992210.6536  4872326.6505   -0.0020  -0.0002   0.0019    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-05-22 12:00:00   3975230.9566   992210.6515  4872326.6492   -0.0007  -0.0017  -0.0010    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-05-23 12:00:00   3975230.9538   992210.6513  4872326.6484    0.0009  -0.0011  -0.0034    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-05-24 12:00:00   3975230.9553   992210.6526  4872326.6486   -0.0003  -0.0003  -0.0022    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-05-25 12:00:00   3975230.9565   992210.6524  4872326.6498   -0.0004  -0.0008  -0.0005    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-05-26 12:00:00   3975230.9572   992210.6519  4872326.6515    0.0003  -0.0014   0.0011    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-05-27 12:00:00   3975230.9555   992210.6518  4872326.6500    0.0006  -0.0011  -0.0011    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-02 12:00:00   3975230.9594   992210.6518  4872326.6534   -0.0001  -0.0020   0.0039    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-03 12:00:00   3975230.9550   992210.6529  4872326.6485   -0.0002   0.0001  -0.0024    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
xFIT KZ0100CZE 2025-06-04 12:00:00   3975230.9642   992210.6541  4872326.6575   -0.0015  -0.0009   0.0103    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-05 12:00:00   3975230.9557   992210.6513  4872326.6487   -0.0003  -0.0016  -0.0021    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-06 12:00:00   3975230.9571   992210.6525  4872326.6499   -0.0008  -0.0008  -0.0002    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
 FIT KZ0100CZE 2025-06-07 12:00:00   3975230.9586   992210.6517  4872326.6500   -0.0018  -0.0020   0.0007    0.0000   0.0000   0.0000  0.0000     1    0     1     1  0  0 0.0    0    0   0.00
